DATAFLOW,FREQ,INDICADOR,AREA_REF,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,UNIDAD,MULT
CL01:DF_TSL(1.0),M,TSL,_T,2017-M11,32.43814999,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2017-M12,33.08438485,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M01,33.31140222,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M02,33.20589441,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M03,33.25242916,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M04,33.30661145,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M05,33.45934057,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M06,33.45189654,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M07,33.2021423,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M08,33.88827178,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M09,33.75358082,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M10,34.04940954,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M11,34.90589841,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2018-M12,35.33925738,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M01,34.78950535,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M02,34.65457234,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M03,34.01432131,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M04,33.24321328,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M05,32.85151102,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M06,32.72566278,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M07,32.72161097,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M08,32.81427871,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M09,32.29875719,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M10,32.79517725,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M11,33.35027522,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2019-M12,33.86704233,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M01,33.73621933,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M02,33.67406652,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M03,32.96904173,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M04,32.85084435,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M05,32.50553572,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M06,32.16883542,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M07,31.75786728,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M08,31.57750771,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M09,31.07446288,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M10,31.40856929,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M11,31.89451272,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2020-M12,32.23609363,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M01,31.98988111,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M02,31.09750392,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M03,30.83655209,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M04,28.49523656,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M05,27.40445546,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M06,27.73661073,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M07,28.29193547,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M08,28.88363957,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M09,29.37872707,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M10,30.45476235,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M11,31.90087533,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2021-M12,32.50574759,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M01,32.82731587,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M02,33.08474297,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M03,33.51562079,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M04,33.99035042,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M05,34.66132897,,1,RT,0
CL01:DF_TSL(1.0),M,TSL,_T,2022-M06,36.07151761,,1,RT,0
